loss,mae,val_loss,val_mae,learning_rate
0.058388497680425644,0.18521063029766083,0.07100732624530792,0.21399708092212677,0.0010000000474974513
0.023637838661670685,0.11929526925086975,0.03953699767589569,0.1554444432258606,0.0010000000474974513
0.017376799136400223,0.10175003856420517,0.026839604601264,0.12949657440185547,0.0010000000474974513
0.013921310193836689,0.09087403863668442,0.019762231037020683,0.10892680287361145,0.0010000000474974513
0.012014544568955898,0.08457895368337631,0.01677781157195568,0.10188039392232895,0.0010000000474974513
0.011342176236212254,0.08090278506278992,0.012876352295279503,0.08843088150024414,0.0010000000474974513
0.01010371744632721,0.07714633643627167,0.0129228001460433,0.08833997696638107,0.0010000000474974513
0.010367137379944324,0.07790222764015198,0.010783517733216286,0.08027320355176926,0.0010000000474974513
0.009179757907986641,0.07315562665462494,0.010207545943558216,0.07775186747312546,0.0010000000474974513
0.009176068007946014,0.07317440211772919,0.00874385703355074,0.0736621841788292,0.0010000000474974513
0.008483699522912502,0.07024666666984558,0.01078385766595602,0.08158203214406967,0.0010000000474974513
0.008008391596376896,0.06806934624910355,0.009069698862731457,0.07653950899839401,0.0010000000474974513
0.008280500769615173,0.06873011589050293,0.012071608565747738,0.0814073234796524,0.0010000000474974513
