Beras Premium,Bawang Merah,Cabai Merah Keriting,Cabai Rawit Merah,Daging Ayam Ras,Telur Ayam Ras,Minyak Goreng Kemasan,Minyak Goreng Curah,Tepung Terigu (Curah)
14000,28500,41000,70000,32000,26000,14000,15500,10000
14000,28500,55000,66000,32000,26000,14000,15500,10000
